BatterID,Season,BatterTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
503437,2016,MIN,0.0,14.0,1.0,2.0,3.0,8.0,6.0,0.0,3.0,0.0,11.0,2.0,1.0,0.20894117647058824
503444,2016,ATL,0.0,8.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,0.2575
503449,2015,MIL,3.0,12.0,2.0,2.0,6.0,8.0,5.0,1.0,3.0,1.0,5.0,4.0,1.0,0.3075333333333334
503449,2016,MIL,8.0,10.0,1.0,7.0,7.0,13.0,6.0,2.0,4.0,2.0,7.0,6.0,0.0,0.4381904761904762
503449,2017,MIL,3.0,3.0,1.0,3.0,3.0,5.0,2.0,0.0,4.0,0.0,1.0,4.0,0.0,0.36477777777777776
503449,2021,DET,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.198
503556,2015,HOU,46.0,133.0,24.0,74.0,77.0,50.0,147.0,10.0,75.0,16.0,94.0,64.0,6.0,0.3452830188679245
503556,2016,HOU,75.0,189.0,20.0,89.0,83.0,72.0,198.0,20.0,83.0,22.0,126.0,81.0,11.0,0.3626064139941691
503556,2017,HOU,81.0,161.0,28.0,91.0,93.0,96.0,156.0,24.0,94.0,17.0,116.0,91.0,12.0,0.3621384180790961
503556,2018,HOU,87.0,161.0,21.0,101.0,101.0,83.0,167.0,25.0,94.0,33.0,108.0,87.0,13.0,0.3832861111111111
503556,2019,MIN,67.0,148.0,19.0,94.0,99.0,87.0,142.0,21.0,96.0,14.0,114.0,73.0,8.0,0.38415337423312884
503556,2020,MIN,37.0,57.0,7.0,37.0,46.0,31.0,61.0,7.0,32.0,7.0,48.0,39.0,5.0,0.35650000000000004
503556,2021,BOS,27.0,88.0,14.0,45.0,52.0,33.0,89.0,6.0,47.0,10.0,60.0,38.0,12.0,0.3312658959537572
503556,2021,HOU,6.0,16.0,3.0,1.0,8.0,3.0,15.0,3.0,4.0,0.0,12.0,6.0,1.0,0.36130769230769233
503556,2022,NYY,33.0,51.0,18.0,33.0,28.0,32.0,75.0,8.0,34.0,8.0,35.0,40.0,9.0,0.3428208955223881
504379,2015,LAD,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
504379,2016,PIT,2.0,9.0,0.0,2.0,4.0,8.0,1.0,0.0,2.0,0.0,6.0,2.0,1.0,0.21445454545454545
504379,2017,STL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.029
504379,2019,PHI,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.246
506433,2016,TEX,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7224999999999999
506433,2017,LAD,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.12666666666666668
506433,2018,CHC,1.0,5.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.2712
506433,2019,CHC,3.0,23.0,0.0,3.0,5.0,17.0,7.0,1.0,6.0,0.0,13.0,3.0,1.0,0.279625
506433,2021,SD,1.0,21.0,0.0,7.0,10.0,9.0,10.0,0.0,7.0,1.0,16.0,1.0,4.0,0.2907241379310345
506560,2015,SD,52.0,138.0,14.0,73.0,77.0,85.0,114.0,3.0,69.0,5.0,106.0,74.0,4.0,0.26786590038314173
506560,2016,SD,20.0,56.0,8.0,32.0,32.0,31.0,43.0,1.0,40.0,1.0,41.0,31.0,0.0,0.30659649122807014
506560,2017,COL,26.0,62.0,1.0,42.0,33.0,36.0,57.0,1.0,40.0,0.0,43.0,40.0,6.0,0.2744615384615385
506693,2015,MIA,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.233
506693,2017,PHI,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.20650000000000002
506702,2015,BOS,13.0,44.0,16.0,19.0,22.0,31.0,39.0,1.0,17.0,2.0,33.0,28.0,5.0,0.24780232558139534
506702,2016,BOS,35.0,89.0,12.0,56.0,40.0,51.0,98.0,8.0,48.0,11.0,70.0,43.0,6.0,0.36398924731182797
506702,2017,BOS,38.0,75.0,28.0,60.0,59.0,58.0,78.0,5.0,54.0,9.0,54.0,58.0,19.0,0.3137336683417085
506702,2018,BOS,52.0,82.0,19.0,41.0,50.0,43.0,91.0,9.0,42.0,8.0,62.0,63.0,5.0,0.2912962962962963
506702,2019,BOS,29.0,48.0,22.0,31.0,37.0,42.0,51.0,2.0,28.0,7.0,33.0,47.0,10.0,0.26398425196850395
506702,2020,CLE,11.0,20.0,4.0,10.0,8.0,11.0,26.0,2.0,10.0,2.0,12.0,14.0,4.0,0.3161136363636364
506702,2021,MIA,47.0,56.0,11.0,26.0,35.0,40.0,65.0,3.0,35.0,7.0,35.0,54.0,6.0,0.27767857142857144
506702,2022,CLE,3.0,2.0,2.0,4.0,3.0,2.0,6.0,0.0,4.0,1.0,2.0,4.0,0.0,0.31236363636363634
506702,2022,MIN,6.0,12.0,4.0,13.0,6.0,10.0,19.0,0.0,11.0,1.0,7.0,12.0,4.0,0.29834285714285713
506703,2017,WSH,9.0,23.0,1.0,15.0,16.0,13.0,19.0,2.0,16.0,2.0,17.0,7.0,0.0,0.43870454545454546
506703,2018,WSH,9.0,26.0,3.0,12.0,19.0,14.0,10.0,3.0,13.0,1.0,19.0,11.0,2.0,0.34214285714285714
506703,2019,WSH,1.0,14.0,1.0,5.0,7.0,9.0,5.0,0.0,4.0,0.0,13.0,3.0,1.0,0.2614761904761905
506703,2021,WSH,5.0,16.0,4.0,6.0,11.0,6.0,13.0,0.0,5.0,1.0,12.0,9.0,4.0,0.2546451612903226
506747,2015,KC,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.268
506747,2016,BAL,6.0,14.0,4.0,3.0,6.0,6.0,15.0,1.0,5.0,0.0,9.0,9.0,0.0,0.2569166666666667
506747,2017,BAL,2.0,4.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.8222857142857143
506747,2018,STL,12.0,52.0,7.0,21.0,19.0,25.0,39.0,3.0,24.0,2.0,41.0,18.0,2.0,0.2979111111111111
506924,2016,COL,12.0,14.0,3.0,15.0,18.0,10.0,16.0,1.0,11.0,3.0,11.0,14.0,2.0,0.3077857142857143
506924,2017,COL,8.0,8.0,0.0,5.0,5.0,9.0,6.0,1.0,6.0,0.0,6.0,7.0,1.0,0.31328571428571433
506997,2015,PIT,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.6156
514888,2015,HOU,126.0,276.0,42.0,136.0,162.0,140.0,270.0,18.0,136.0,28.0,208.0,154.0,26.0,0.305459649122807
514888,2016,HOU,129.0,252.0,25.0,174.0,168.0,131.0,257.0,40.0,171.0,38.0,181.0,115.0,21.0,0.3990070671378092
514888,2017,HOU,109.0,247.0,26.0,129.0,134.0,141.0,206.0,34.0,133.0,25.0,177.0,101.0,31.0,0.37510978043912174
514888,2018,HOU,103.0,221.0,18.0,117.0,143.0,112.0,182.0,27.0,114.0,24.0,166.0,101.0,23.0,0.36495164835164834
514888,2019,HOU,92.0,214.0,33.0,83.0,112.0,95.0,213.0,34.0,87.0,17.0,152.0,89.0,27.0,0.369948275862069
514888,2020,HOU,34.0,78.0,12.0,29.0,45.0,46.0,62.0,7.0,31.0,9.0,55.0,37.0,13.0,0.3043289473684211
514888,2021,HOU,127.0,212.0,56.0,122.0,149.0,84.0,284.0,33.0,123.0,32.0,145.0,152.0,32.0,0.33916827852998066
514888,2022,HOU,113.0,181.0,43.0,104.0,129.0,88.0,224.0,34.0,98.0,29.0,131.0,113.0,33.0,0.36447260273972604
514913,2015,NYM,62.0,126.0,16.0,90.0,84.0,112.0,94.0,7.0,92.0,18.0,92.0,69.0,9.0,0.35385365853658535
514913,2016,SF,6.0,14.0,3.0,5.0,4.0,6.0,15.0,0.0,1.0,4.0,11.0,8.0,1.0,0.25936
514913,2016,STL,6.0,11.0,2.0,10.0,6.0,13.0,10.0,0.0,7.0,0.0,11.0,10.0,0.0,0.26585714285714285
